PrintNum,Slide,Row,RowPos,Capture,AtomizerFlow,ExhaustFlow,ExhaustFlowDelta,SheathFlow,Speed,NumObjects,RSS,Roughness,NormalizedRoughness,AvgWidth,WidthSD,NormalizedWidthSD,MinWidth,NormalizedMinWidth,Ten90Range,AvgCurv,Error,QualityScore1,QualityScore2,QualityScore3,Pass
74,2,4,2,78,875,880,-5,80,1.5,1,3.16680060064638,2.73870432639712,0.0428984003353889,63.841642228739,2.63460997536711,0.0412678916674408,58,0.908497932935232,7,0.0317197625704557,0,57.0767241314001,63.9780458919577,45.9670688379366,1
75,2,4,3,79,875,880,-5,80,2.5,1,3.58970574051216,2.75845007639539,0.0466282395306018,59.158357771261,2.95265758888808,0.0499110810395496,53,0.895900461012244,8,0.0372120003380847,0,53.8984457789802,61.0871412576782,41.6307118865173,1
76,2,4,4,80,875,880,-5,80,3.5,1,4.65244841817996,3.44048038802553,0.0620283288736759,55.466275659824,3.51129320352748,0.0633050112299287,46,0.829332769377181,9,0.0415005422524008,0,51.0844783123032,57.7955085707748,36.6932628561622,0
77,2,4,5,81,875,880,-5,80,4.5,1,6.26504448203622,4.05279739022999,0.0789648835853171,51.3240469208211,3.82503379926552,0.0745271277061705,40,0.779361768991229,9,0.0428626162280067,0,49.8423355006881,56.295681926446,34.4435228896691,0
78,2,4,6,82,875,880,-5,80,5.5,1,6.342866337897,3.65996737787491,0.0721888448611042,50.6999022482893,3.81463787182081,0.0752395508208208,37,0.729784444530135,10,0.0463836708178858,0,48.0461870500161,55.1566501546354,32.734975231953,0
79,2,4,7,83,875,880,-5,80,6.5,1,7.80256803821468,4.24003443765061,0.0890101830398838,47.6353861192571,4.40048886176036,0.0923785702238996,35,0.734747901746322,10,0.0452967760202644,0,47.7326834786728,53.5661117873773,30.349167681066,0
80,2,4,8,84,875,880,-5,80,7.5,1,9.4143896808352,4.79358431538929,0.105075836566564,45.6202346041056,4.68227277933929,0.102635876820281,33,0.723363224375663,12,0.0492607593775285,0,45.2378264702217,51.3055042763595,26.9582564145393,0
81,2,5,1,85,880,880,0,80,0.5,1,1.66495779576341,2.04147424486085,0.0239812157234533,85.128054740958,2.07823152884045,0.0244130038582985,80,0.939760696323175,6,0.0302613229298234,0,58.6486883421734,66.3187872605907,49.4781808908861,1
82,2,5,2,86,880,880,0,80,1.5,1,3.73044465680395,2.86716373841524,0.0391757568655049,73.1871945259042,3.44721314722989,0.047101315599818,65,0.888133510528179,9,0.03322769465363,0,56.0310868931941,60.7667246246904,41.1500869370356,1
83,2,5,3,87,880,880,0,80,2.5,1,3.57224341139826,2.78331943023075,0.039687164550956,70.1314760508309,3.21302612673989,0.0458143234346174,61,0.869794897169818,9,0.0332792475284086,0,56.0696600640648,61.5301637347308,42.2952456020962,1
84,2,5,4,88,880,880,0,80,3.5,1,3.4503087296491,2.66176618134803,0.0399478724466766,66.6309872922776,3.02801874315283,0.045444602672183,59,0.885473897320413,8,0.0395575904894452,0,52.9489746216683,60.0540740263422,40.0811110395133,1
85,2,5,5,89,880,880,0,80,4.5,1,4.98748340657799,3.55835672016735,0.0556809673998287,63.9061583577713,3.84211524900626,0.0601212050252907,50,0.782397209985316,10,0.0424109815911396,0,50.7884489531657,56.3892886395993,34.5839329593989,0
86,2,5,6,90,880,880,0,80,5.5,1,5.45798902759604,3.42963787912232,0.0563400383842717,60.8739002932551,3.91895065265263,0.0643781757661888,48,0.788515271220734,9,0.0393767435487336,0,52.0927194373238,57.1445833082467,35.71687496237,1
87,2,5,7,91,880,880,0,80,6.5,1,6.05376315072644,3.61737562934232,0.0616983630603832,58.6300097751711,4.07454483334352,0.0694958921031773,47,0.801637253349117,11,0.0422798154416843,0,50.385297673999,55.6582454082935,33.4873681124403,0
88,2,5,8,92,880,880,0,80,7.5,1,6.34444423708718,3.6871400601416,0.0636690289405475,57.911045943304,4.25885014738007,0.0735412403283056,47,0.811589554884121,11,0.0456150630084353,0,48.5154064793671,53.932145172588,30.898217758882,0
89,2,6,1,93,885,880,5,80,0.5,5,99.979822414327,10.410184952645,1.04939393985489,9.92018779342723,4.48669058632277,0.452278795497752,-3,-0.30241362991008,9.2,0.0674579391230974,0,0,12.5583850045583,0,0
90,2,6,2,94,885,880,5,80,1.5,1,2.91720210192563,2.89100110938161,0.0343718810712819,84.1094819159335,2.9809071370674,0.0354407977455714,77,0.915473478685324,8,0.0328430831938102,0,56.8064185158163,62.4492818118386,43.6739227177579,1
91,2,6,3,95,885,880,5,80,2.5,1,4.12464976123993,3.31695012751679,0.0413003892459795,80.3128054740958,3.61860206812277,0.0450563524304965,70,0.871592015579357,10,0.038042723280299,0,53.7258207383257,58.5904186794911,37.8856280192367,1
92,2,6,4,96,885,880,5,80,3.5,1,3.22528424991722,2.664928539964,0.035128556655755,75.8621700879765,3.06451669508896,0.0403958480430374,68,0.896362441532336,7,0.0361108333649835,0,54.9247909153564,61.0813332280423,41.6219998420635,1
93,2,6,5,97,885,880,5,80,4.5,1,4.80662605941142,3.47890168356537,0.0472697576991131,73.5967741935484,3.75055586489331,0.0509608730272596,66,0.896778435239974,10,0.0377547801228254,0,53.5745662872243,58.2465537427471,37.3698306141207,1
94,2,6,6,98,885,880,5,80,5.5,1,5.95372338468055,3.69032248509119,0.0518838674076383,71.1265884652981,4.21176682039532,0.0592150827316875,61,0.857625837484968,12,0.0373759540238498,0,53.3512688514907,56.835459257399,35.2531888860985,1
95,2,6,7,99,885,880,5,80,6.5,1,6.41682218802991,3.95480010587377,0.0583542788696092,67.772238514174,4.39570045251797,0.0648598976349091,51,0.752520517517417,11,0.0438472831213853,0,49.8333635575619,54.065237451145,31.0978561767175,0
96,2,6,8,100,885,880,5,80,7.5,1,6.49611366966045,3.96003359677564,0.0597298061084791,66.2991202346041,4.38372955372552,0.0661204784952407,56,0.844656758669498,12,0.0423884989280928,0,50.4997266111916,54.591401844884,31.887102767326,0
97,3,1,1,101,870,880,-10,80,0.5,4,101.461969217052,4.02763086354993,0.0833859461954906,48.3010752688172,8.40481110430076,0.174008778428311,40,0.828138913624221,8,0.0606074407539267,0,0,1.78148273435522,0,0
98,3,1,2,102,870,880,-10,80,1.5,1,2.66127771814017,2.44626713641,0.0552093911169128,44.3088954056696,2.74870746273682,0.0620351159190736,34,0.767340275326509,6,0.0349540494920363,0,54.4212194580282,62.5196252935318,43.7794379402977,1
99,3,1,3,103,870,880,-10,80,2.5,1,3.30623620699994,2.35004285595523,0.0582591715026402,40.3377321603128,3.03537634787095,0.0752490580235786,29,0.718929856659922,7,0.0371246047635125,0,52.6752447170648,60.8405439192593,41.260815878889,1
100,3,1,4,104,870,880,-10,80,3.5,1,4.18922959138374,2.94247125497713,0.084296622527699,34.9061583577713,3.24048220057911,0.0928341116019051,25,0.716205998487776,8,0.0433746882527926,0,48.6709502935085,58.0734965804721,37.1102448707082,0
101,3,1,5,105,870,880,-10,80,4.5,1,7.06468447785547,3.83224831801126,0.117396278708336,32.6436950146628,4.27554904555238,0.130976258773154,20,0.612675740017069,12,0.0459695966666211,0,45.4663887280318,53.7583042926184,30.6374564389275,0
102,3,1,6,106,870,880,-10,80,5.5,1,8.51836669031419,4.45505905713077,0.147140356926609,30.27761485826,4.52476557960419,0.149442603084364,18,0.594498611738878,12,0.0519172170513563,0,41.5692613201037,50.9450423842006,26.4175635763009,0
103,3,1,7,107,870,880,-10,80,6.5,1,8.77483979056508,4.71362570936881,0.161941097868598,29.1070381231672,4.82777004874235,0.165862635295062,16,0.549695229459473,12,0.0548681350413835,0,39.2728007145551,48.9513881570643,23.4270822355965,0
104,3,1,8,108,870,880,-10,80,7.5,1,9.99197595447408,4.76639204455872,0.16757518898818,28.4433040078201,5.32259671836598,0.187130043573791,11,0.386734255520234,13.9,0.0594700092871023,0,35.9084931777593,45.7680078430793,18.652011764619,0
105,3,2,1,109,870,880,-10,90,0.5,1,6.272142418468,3.7945150110508,0.121268005507809,31.2903225806452,3.47984405034439,0.111211510887295,22,0.703092783505155,9,0.0843392674317095,0,27.2697907397805,43.6207640216155,15.4311460324233,0
106,3,2,2,110,870,880,-10,90,1.5,1,3.47010466092654,2.83762609540681,0.153364935312826,18.5024437927664,2.78780857763645,0.150672452183119,10,0.540469146238377,6,0.0481101275635331,0,43.4113136090775,58.0039288867008,37.0058933300512,0
107,3,2,3,111,870,880,-10,90,2.5,1,2.9601467035743,2.62684359439631,0.162161602574748,16.1989247311828,2.55808203236476,0.157916779960121,9,0.555592432791238,7,0.0444015218489803,0,44.9034000775038,60.0058859424573,40.008828913686,0
108,3,2,4,112,870,880,-10,90,3.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
109,3,2,5,113,870,880,-10,90,4.5,2,64.2900953846068,0,0,0,0,0,0,0,0,0,1,0,0,0,0
110,3,2,6,114,870,880,-10,90,5.5,7,41.9271481112909,0,0,0,0,0,0,0,0,0,1,0,0,0,0
111,3,2,7,115,870,880,-10,90,6.5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
112,3,2,8,116,870,880,-10,90,7.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
113,3,3,1,117,870,880,-10,100,0.5,1,6.53134964905403,3.84697605130867,0.133441492624738,28.8289345063539,3.55303011817342,0.123245280445253,20,0.693747456937475,10,0.0995933108791738,0,19.0410805381505,38.2921293130307,7.43819396954603,0
114,3,3,2,118,870,880,-10,100,1.5,1,3.31324979546336,2.72922107270795,0.17936484372223,15.2160312805474,2.708901759079,0.17802945519323,4,0.262880637286393,7,0.0447419938752714,0,43.7275303027028,59.3896628446462,39.0844942669693,0
115,3,3,3,119,870,880,-10,100,2.5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
116,3,3,4,120,870,880,-10,100,3.5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
117,3,3,5,121,870,880,-10,100,4.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
118,3,3,6,122,870,880,-10,100,5.5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
119,3,3,7,123,870,880,-10,100,6.5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
120,3,3,8,124,870,880,-10,100,7.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
121,3,4,1,125,870,880,-10,110,0.5,1,3.43249971824803,2.81308640276569,0.127063045677608,22.1392961876833,2.60667758132137,0.117739857637008,15,0.67752831313332,7,0.0439442594041161,0,47.1408774160916,59.9963215942234,39.9944823913351,0
122,3,4,2,126,870,880,-10,110,1.5,1,5.78113329395792,3.75003129392491,0.349117897227572,10.7414467253177,3.13277690059416,0.291653161879039,2,0.186194658051599,7,0.0464308413378198,0,37.2019212371381,57.4137965520795,36.1206948281193,0
123,3,4,3,127,870,880,-10,110,2.5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
124,3,4,4,128,870,880,-10,110,3.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
125,3,4,5,129,870,880,-10,110,4.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
126,3,4,6,130,870,880,-10,110,5.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
127,3,4,7,131,870,880,-10,110,6.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
128,3,4,8,132,870,880,-10,110,7.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
129,3,5,1,133,870,880,-10,120,0.5,1,5.12024088393068,3.49674925396237,0.118622313529762,29.4780058651026,2.60997805721317,0.0885398445592608,24,0.8141663350577,6,0.0340166571223883,0,53.5646792108428,63.2945207684933,44.94178115274,1
130,3,5,2,134,870,880,-10,120,1.5,1,4.9161716801911,3.48308790296299,0.137519496911721,25.3279569892473,2.12067951238211,0.0837288026540166,19,0.750159201867969,6,0.0347521416151949,0,53.4374890597017,64.680354420328,47.020531630492,1
131,3,5,3,135,870,880,-10,120,2.5,1,5.59653168318334,3.76844597713009,0.188740556392944,19.966275659824,2.46547535258305,0.123481985052628,13,0.651097892340457,6,0.0401731552819609,0,48.7393231063881,61.7240303974029,42.5860455961043,0
132,3,5,4,136,870,880,-10,120,3.5,1,9.49095718672466,4.9865985557973,0.304600108827027,16.3709677419355,3.7052421388509,0.226330061683503,5,0.305418719211823,10,0.0487154025249458,0,39.3257956533519,54.7440586955151,32.1160880432726,0
133,3,5,5,137,870,880,-10,120,4.5,2,61.6477966454987,0,0,0,0,0,0,0,0,0,1,0,0,0,0
134,3,5,6,138,870,880,-10,120,5.5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
135,3,5,7,139,870,880,-10,120,6.5,5,36.4694587715981,2.52592313777441,0.193090581070025,13.0815450643777,2.18877489329551,0.16731776579326,6,0.458661417322835,4,1.6696768160191,0,-0,-513.854854984018,-0,0
136,3,5,8,140,870,880,-10,120,7.5,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
137,3,6,1,141,870,880,-10,130,0.5,1,5.48081537050572,3.8520289452084,0.134212922276087,28.7008797653959,1.73429923792328,0.0604266925648145,24,0.836211300705017,4,0.0348569174451695,0,54.5502066491745,65.9333633918659,48.9000450877988,1
138,3,6,2,142,870,880,-10,130,1.5,1,7.93321621225734,4.39252137303404,0.278160844632383,15.7913000977517,2.63768858042524,0.167034288760099,8,0.506608065864001,6,0.0390857105121446,0,47.1054303059227,61.5124678945343,42.2687018418015,0
139,3,6,3,143,870,880,-10,130,2.5,1,12.4475566088543,5.54211397868568,0.456451380741925,12.1417399804497,3.53071714012248,0.290791694255317,3,0.24708155543032,9,0.0449174909993841,0,38.0016697875421,56.5917791997971,34.8876687996956,0
140,3,6,4,144,870,880,-10,130,3.5,6,18.4124445803066,2.50028306615256,0.278447138251203,8.97938144329897,2.83566984143113,0.315797904269597,-1,-0.111366245694604,7.1,1.28132090512122,0,-0,-386.55920117851,-0,0
141,3,6,5,145,870,880,-10,130,4.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
142,3,6,6,146,870,880,-10,130,5.5,2,20.7326496367824,0,0,0,0,0,0,0,0,0,1,0,0,0,0
143,3,6,7,147,870,880,-10,130,6.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
144,3,6,8,148,870,880,-10,130,7.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
